key,src_debit,src_credit,gl_account_src,department_src,transaction_date_src,currency_src,tgt_debit,tgt_credit,gl_account_tgt,department_tgt,transaction_date_tgt,currency_tgt,reconciliation_status,debit_delta,credit_delta
TXN000001,0.0,849.86,4500,IT,2023-11-24,GBP,0.0,849.86,4500,IT,2023-11-24,GBP,MATCHED,0.0,0.0
TXN000002,327.87,0.0,4600,IT,2023-02-27,GBP,327.87,0.0,4600,IT,2023-02-27,GBP,MATCHED,0.0,0.0
TXN000003,1065.86,0.0,3000,Sales,2023-01-13,EUR,1065.86,0.0,3000,Sales,2023-01-13,EUR,MATCHED,0.0,0.0
TXN000004,0.0,3962.16,4000,Sales,2023-05-21,USD,0.0,3962.49,4000,Sales,2023-05-21,USD,AMOUNT_DISCREPANCY,0.0,-0.33
TXN000005,283.94,0.0,2000,IT,2023-05-06,GBP,283.94,0.0,2000,IT,2023-05-06,GBP,MATCHED,0.0,0.0
TXN000006,0.0,283.95,4500,Operations,2023-04-25,GBP,0.0,283.95,4500,Operations,2023-04-25,GBP,MATCHED,0.0,0.0
TXN000007,4310.54,0.0,4400,IT,2023-03-13,GBP,4310.54,0.0,4400,IT,2023-03-13,GBP,MATCHED,0.0,0.0
TXN000008,1275.57,0.0,3000,Finance,2023-02-22,USD,1275.57,0.0,3000,Finance,2023-02-22,USD,MATCHED,0.0,0.0
TXN000009,0.0,199.49,4400,Sales,2023-12-13,GBP,0.0,199.49,4400,Sales,2023-12-13,GBP,MATCHED,0.0,0.0
TXN000010,0.0,910.36,3100,Legal,2023-10-07,GBP,0.0,910.36,3100,Legal,2023-10-07,GBP,MATCHED,0.0,0.0
TXN000011,201.32,0.0,1000,Finance,2023-02-14,GBP,201.32,0.0,1000,Finance,2023-02-14,GBP,MATCHED,0.0,0.0
TXN000012,200.62,0.0,4500,HR,2023-10-30,GBP,200.62,0.0,4500,HR,2023-10-30,GBP,MATCHED,0.0,0.0
TXN000013,579.95,0.0,1200,Procurement,2023-08-05,GBP,579.95,0.0,1200,Procurement,2023-08-05,GBP,MATCHED,0.0,0.0
TXN000014,0.0,22.88,4000,Finance,2023-01-17,EUR,0.0,22.88,4000,Finance,2023-01-17,EUR,MATCHED,0.0,0.0
TXN000015,30.34,0.0,4600,IT,2023-01-16,GBP,30.34,0.0,4600,IT,2023-01-16,GBP,MATCHED,0.0,0.0
TXN000016,0.0,173.57,1200,HR,2023-02-17,GBP,0.0,173.57,1200,HR,2023-02-17,GBP,MATCHED,0.0,0.0
TXN000017,88.3,0.0,4600,Procurement,2023-04-22,GBP,88.3,0.0,4600,Procurement,2023-04-22,GBP,MATCHED,0.0,0.0
TXN000018,646.37,0.0,4000,Legal,2023-04-30,GBP,646.37,0.0,4000,Legal,2023-04-30,GBP,MATCHED,0.0,0.0
TXN000019,103.33,0.0,1000,Sales,2023-09-16,GBP,103.33,0.0,1000,Sales,2023-09-16,GBP,MATCHED,0.0,0.0
TXN000020,48.5,0.0,1000,Finance,2023-11-05,GBP,48.5,0.0,1000,Finance,2023-11-05,GBP,MATCHED,0.0,0.0
TXN000021,3635.4,0.0,4200,IT,2023-01-14,GBP,3635.4,0.0,4200,IT,2023-01-14,GBP,MATCHED,0.0,0.0
TXN000022,287.53,0.0,4300,Sales,2023-10-15,GBP,287.53,0.0,4300,Sales,2023-10-15,GBP,MATCHED,0.0,0.0
TXN000023,0.0,446.43,4500,Legal,2023-04-12,EUR,0.0,446.43,4500,Legal,2023-04-12,EUR,MATCHED,0.0,0.0
TXN000024,0.0,47.6,3000,HR,2023-11-29,USD,0.0,47.6,3000,HR,2023-11-29,USD,MATCHED,0.0,0.0
TXN000025,178.29,0.0,1100,Sales,2023-12-26,GBP,178.29,0.0,1100,Sales,2023-12-26,GBP,MATCHED,0.0,0.0
