transaction_id,transaction_date,posting_date,gl_account,cost_centre,department,vendor_id,transaction_type,debit_amount,credit_amount,currency,exchange_rate,reference_number,description,status,created_by,approved_by,erp_batch_id
TXN000001,2023-11-24,2023-11-26,4500,CC005,IT,VND0030,Debit Note,0.0,849.86,GBP,1.0,REF00000001,Payment for Revenue - Procurement,Posted,USER019,USER025,BATCH0046
TXN000002,2023-02-27,2023-02-27,4600,CC005,IT,VND0023,Invoice,327.87,0.0,GBP,1.0,REF00000002,Payment for Travel - IT,Posted,USER003,USER028,BATCH0008
TXN000003,2023-01-13,2023-01-13,3000,CC001,Sales,VND0034,Debit Note,1065.86,0.0,EUR,1.0724,REF00000003,Payment for Cash - Sales,Posted,USER016,USER030,BATCH0046
TXN000004,2023-05-21,2023-05-22,4000,CC002,Sales,VND0032,Debit Note,0.0,3962.16,USD,1.3373,REF00000004,Payment for Marketing - Sales,Reversed,USER018,USER029,BATCH0016
TXN000005,2023-05-06,2023-05-06,2000,CC002,IT,VND0014,Invoice,283.94,0.0,GBP,1.0,REF00000005,Payment for Other Income - Operations,Posted,USER012,USER027,BATCH0011
TXN000006,2023-04-25,2023-04-25,4500,CC006,Operations,VND0049,Invoice,0.0,283.95,GBP,1.0,REF00000006,Payment for Accounts Payable - Procurement,Posted,USER003,,BATCH0041
TXN000007,2023-03-13,2023-03-13,4400,CC005,IT,VND0044,Invoice,4310.54,0.0,GBP,1.0,REF00000007,Payment for Rent - Finance,Posted,USER007,USER022,BATCH0039
TXN000008,2023-02-22,2023-02-23,3000,CC001,Finance,VND0010,Payment,1275.57,0.0,USD,1.2169,REF00000008,Payment for Inventory - Procurement,Posted,USER017,USER022,BATCH0049
TXN000009,2023-12-13,2023-12-13,4400,CC005,Sales,VND0010,Credit Note,0.0,199.49,GBP,1.0,REF00000009,Payment for Utilities - IT,Pending,USER012,USER024,BATCH0003
TXN000010,2023-10-07,2023-10-10,3100,CC001,Legal,VND0038,Payment,0.0,910.36,GBP,1.0,REF00000010,Payment for Accounts Receivable - Legal,Posted,USER010,USER030,BATCH0005
TXN000011,2023-02-14,2023-02-16,1000,CC003,Finance,VND0031,Invoice,201.32,0.0,GBP,1.0,REF00000011,Payment for Cash - Operations,Posted,USER010,USER027,BATCH0025
TXN000012,2023-10-30,2023-11-02,4500,CC002,HR,VND0044,Journal Entry,200.62,0.0,GBP,1.0,REF00000012,Payment for Marketing - Legal,Posted,USER011,USER021,BATCH0009
TXN000013,2023-08-05,2023-08-06,1200,CC006,Procurement,VND0006,Journal Entry,579.95,0.0,GBP,1.0,REF00000013,Payment for Accrued Liabilities - Procurement,Posted,USER015,USER028,BATCH0001
TXN000014,2023-01-17,2023-01-18,4000,CC005,Finance,VND0027,Invoice,0.0,22.88,EUR,1.2183,REF00000014,Payment for Travel - Legal,Posted,USER015,USER030,BATCH0019
TXN000015,2023-01-16,2023-01-16,4600,CC007,IT,VND0001,Payment,30.34,0.0,GBP,1.0,REF00000015,Payment for Marketing - Finance,Posted,USER001,USER021,BATCH0030
TXN000016,2023-02-17,2023-02-20,1200,CC001,HR,VND0006,Payment,0.0,173.57,GBP,1.0,REF00000016,Payment for COGS - Finance,Posted,USER005,USER027,BATCH0034
TXN000017,2023-04-22,2023-04-23,4600,CC007,Procurement,VND0009,Invoice,88.3,0.0,GBP,1.0,REF00000017,Payment for COGS - HR,Pending,USER020,USER021,BATCH0032
TXN000018,2023-04-30,2023-05-02,4000,CC005,Legal,VND0024,Journal Entry,646.37,0.0,GBP,1.0,REF00000018,Payment for Inventory - HR,Posted,USER019,USER023,BATCH0044
TXN000019,2023-09-16,2023-09-17,1000,CC002,Sales,VND0035,Payment,103.33,0.0,GBP,1.0,REF00000019,Payment for Inventory - Finance,Posted,USER006,,BATCH0049
TXN000020,2023-11-05,2023-11-08,1000,CC003,Finance,VND0044,Journal Entry,48.5,0.0,GBP,1.0,REF00000020,Payment for Accrued Liabilities - Procurement,Posted,USER020,USER022,BATCH0026
TXN000021,2023-01-14,2023-01-16,4200,CC007,IT,VND0049,Debit Note,3635.4,0.0,GBP,1.0,REF00000021,Payment for Revenue - HR,Posted,USER012,USER027,BATCH0036
TXN000022,2023-10-15,2023-10-17,4300,CC001,Sales,VND0031,Debit Note,287.53,0.0,GBP,1.0,REF00000022,Payment for Accounts Receivable - Finance,Posted,USER019,USER028,BATCH0035
TXN000023,2023-04-12,2023-04-12,4500,CC003,Legal,VND0025,Journal Entry,0.0,446.43,EUR,0.8139,REF00000023,Payment for Inventory - Sales,Posted,USER014,USER025,BATCH0047
TXN000024,2023-11-29,2023-12-01,3000,CC007,HR,VND0031,Journal Entry,0.0,47.6,USD,1.1975,REF00000024,Payment for Marketing - IT,Posted,USER014,USER026,BATCH0026
TXN000025,2023-12-26,2023-12-26,1100,CC004,Sales,VND0049,Debit Note,178.29,0.0,GBP,1.0,REF00000025,Payment for Accrued Liabilities - IT,Posted,USER001,USER024,BATCH0034
TXN000026,2023-10-07,2023-10-07,4000,CC002,HR,VND0019,Payment,476.46,0.0,EUR,0.9792,REF00000026,Payment for Accrued Liabilities - Legal,Pending,USER010,USER021,BATCH0030
TXN000027,2023-08-03,2023-08-04,4200,CC004,IT,VND0034,Payment,71.77,0.0,EUR,1.1423,REF00000027,Payment for COGS - Sales,Posted,USER018,USER025,BATCH0042
TXN000028,2023-04-23,2023-04-24,4600,CC004,Procurement,VND0035,Invoice,708.78,0.0,GBP,1.0,REF00000028,Payment for Inventory - Finance,Posted,USER016,USER023,BATCH0034
TXN000029,2023-08-18,2023-08-18,4300,CC007,Legal,VND0020,Invoice,163.86,0.0,GBP,1.0,REF00000029,Payment for Rent - IT,Posted,USER008,USER029,BATCH0023
TXN000030,2023-10-29,2023-11-01,4200,CC001,Finance,VND0016,Journal Entry,260.46,0.0,GBP,1.0,REF00000030,Payment for Cash - HR,Posted,USER013,USER027,BATCH0039
TXN000031,2023-05-23,2023-05-23,4600,CC002,Legal,VND0007,Journal Entry,0.0,163.6,USD,1.272,REF00000031,Payment for Travel - HR,Posted,USER018,USER023,BATCH0037
TXN000032,2023-01-04,2023-01-07,4300,CC004,HR,VND0001,Debit Note,6492.59,0.0,GBP,1.0,REF00000032,Payment for Other Income - IT,Posted,USER005,USER022,BATCH0046
TXN000033,2023-03-23,2023-03-25,1200,CC003,Finance,VND0006,Payment,395.34,0.0,GBP,1.0,REF00000033,Payment for Travel - Procurement,Posted,USER013,USER030,BATCH0048
TXN000034,2023-12-24,2023-12-26,3100,CC003,HR,VND0001,Payment,82.55,0.0,EUR,1.1306,REF00000034,Payment for Utilities - Operations,Posted,USER020,USER024,BATCH0026
TXN000035,2023-08-05,2023-08-07,2100,CC002,Operations,VND0049,Invoice,0.0,1385.5,GBP,1.0,REF00000035,Payment for COGS - HR,Pending,USER004,USER025,BATCH0049
TXN000036,2023-06-24,2023-06-24,1100,CC003,Legal,VND0043,Credit Note,64.63,0.0,GBP,1.0,REF00000036,Payment for Salaries - Legal,Posted,USER004,USER022,BATCH0017
TXN000037,2023-05-23,2023-05-26,1000,CC003,IT,VND0011,Debit Note,0.0,551.86,GBP,1.0,REF00000037,Payment for Rent - HR,Posted,USER013,USER026,BATCH0034
TXN000038,2023-03-21,2023-03-21,4400,CC005,Sales,VND0033,Payment,21.34,0.0,GBP,1.0,REF00000038,Payment for Revenue - Finance,Posted,USER007,USER023,BATCH0027
TXN000039,2023-04-21,2023-04-23,4000,CC002,Sales,VND0033,Invoice,0.0,55.02,GBP,1.0,REF00000039,Payment for Utilities - IT,Posted,USER007,USER024,BATCH0011
TXN000040,2023-06-22,2023-06-23,4100,CC007,Finance,VND0022,Journal Entry,0.0,542.01,GBP,1.0,REF00000040,Payment for Salaries - IT,Posted,USER004,USER028,BATCH0033
TXN000041,2023-02-22,2023-02-24,2000,CC004,Legal,VND0032,Payment,0.0,1221.34,GBP,1.0,REF00000041,Payment for Accrued Liabilities - Sales,Posted,USER019,USER028,BATCH0032
TXN000042,2023-02-17,2023-02-19,2000,CC006,Sales,VND0040,Debit Note,0.0,521.68,GBP,1.0,REF00000042,Payment for Cash - Procurement,Posted,USER010,USER023,BATCH0009
TXN000043,2023-07-14,2023-07-15,3000,CC005,Finance,VND0010,Journal Entry,339.18,0.0,EUR,1.0805,REF00000043,Payment for Utilities - Finance,Posted,USER006,USER026,BATCH0003
TXN000044,2023-02-19,2023-02-22,4100,CC007,Legal,VND0016,Debit Note,0.0,256.81,GBP,1.0,REF00000044,Payment for IT Expenses - Legal,Posted,USER006,,BATCH0014
TXN000045,2023-07-03,2023-07-05,3100,CC007,Procurement,VND0024,Invoice,43.91,0.0,GBP,1.0,REF00000045,Payment for Accounts Payable - Sales,Posted,USER013,USER025,BATCH0005
TXN000046,2023-06-26,2023-06-29,1000,CC006,Legal,VND0024,Invoice,137.03,0.0,GBP,1.0,REF00000046,Payment for Travel - Procurement,Posted,USER018,USER029,BATCH0039
TXN000047,2023-11-06,2023-11-07,4200,CC001,Finance,VND0002,Credit Note,202.16,0.0,EUR,1.2401,REF00000047,Payment for Cash - Operations,Posted,USER014,USER029,BATCH0024
TXN000048,2023-05-16,2023-05-17,4000,CC004,HR,VND0009,Invoice,1969.79,0.0,USD,0.8824,REF00000048,Payment for Travel - Finance,Posted,USER012,USER027,BATCH0020
TXN000049,2023-01-23,2023-01-24,4100,CC002,Procurement,VND0008,Payment,0.0,675.48,GBP,1.0,REF00000049,Payment for Accrued Liabilities - IT,Pending,USER007,USER022,BATCH0008
TXN000050,2023-08-24,2023-08-24,4100,CC002,HR,VND0036,Credit Note,0.0,28.66,GBP,1.0,REF00000050,Payment for Inventory - Procurement,Posted,USER014,USER022,BATCH0039
TXN000051,2023-10-02,2023-10-05,4300,CC007,Operations,VND0049,Invoice,0.0,655.98,GBP,1.0,REF00000051,Payment for Other Income - Legal,Posted,USER020,USER027,BATCH0027
TXN000052,2023-03-05,2023-03-05,4100,CC005,IT,VND0024,Payment,0.0,226.42,GBP,1.0,REF00000052,Payment for Accounts Receivable - Operations,Posted,USER009,USER023,BATCH0025
TXN000053,2023-07-13,2023-07-14,4200,CC001,Finance,VND0043,Credit Note,146.15,0.0,EUR,0.9113,REF00000053,Payment for Other Income - Legal,Posted,USER011,USER029,BATCH0025
TXN000054,2023-02-10,2023-02-12,1100,CC003,Procurement,VND0030,Debit Note,1009.81,0.0,GBP,1.0,REF00000054,Payment for COGS - Sales,Posted,USER012,USER023,BATCH0020
TXN000055,2023-10-10,2023-10-10,4500,CC007,Operations,VND0011,Invoice,0.0,1894.1,GBP,1.0,REF00000055,Payment for Accounts Receivable - HR,Posted,USER004,USER022,BATCH0024
TXN000056,2023-05-31,2023-06-02,1100,CC005,Legal,VND0029,Payment,0.0,1630.95,EUR,1.099,REF00000056,Payment for COGS - IT,Posted,USER011,USER025,BATCH0002
TXN000057,2023-11-18,2023-11-18,4400,CC005,Operations,VND0042,Payment,114.57,0.0,GBP,1.0,REF00000057,Payment for Utilities - Procurement,Reversed,USER017,USER022,BATCH0021
